epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.739,1.38797,2.97749,1.46272,0.74543,0.38304,0.36295,0.22316,1.43763,1.95199,1.66717,0.000174533,0.000174533,0.000174533
2,432.371,1.33064,1.79401,1.40647,0.69196,0.41381,0.43242,0.26734,1.39633,1.59162,1.61526,0.000342939,0.000342939,0.000342939
3,621.442,1.30422,1.59246,1.38082,0.72696,0.40904,0.43352,0.25167,1.51938,1.67659,1.74135,0.000504401,0.000504401,0.000504401
4,810.498,1.30162,1.5031,1.37639,0.77799,0.40665,0.46053,0.28412,1.40413,1.54413,1.62118,0.000494756,0.000494756,0.000494756
5,1000.36,1.27783,1.3998,1.3617,0.59918,0.50699,0.50519,0.30678,1.36483,1.37312,1.58333,0.000484341,0.000484341,0.000484341
6,1190.56,1.26264,1.3066,1.34091,0.69788,0.48305,0.48042,0.29393,1.37735,1.47351,1.58755,0.000473926,0.000473926,0.000473926
7,1384.98,1.23104,1.24049,1.32423,0.68044,0.44648,0.48806,0.30461,1.37706,1.45504,1.59047,0.000463511,0.000463511,0.000463511
8,1582.15,1.22079,1.1912,1.3144,0.74322,0.51874,0.55426,0.3419,1.30087,1.16136,1.49664,0.000453096,0.000453096,0.000453096
9,1783.93,1.21361,1.15495,1.30138,0.74434,0.5134,0.55968,0.33574,1.31009,1.1963,1.5196,0.000442682,0.000442682,0.000442682
10,1976.45,1.19162,1.12367,1.29676,0.53775,0.59849,0.55542,0.34214,1.28825,1.14935,1.48463,0.000432267,0.000432267,0.000432267
11,2173.32,1.17303,1.08822,1.27808,0.63748,0.54755,0.57537,0.35508,1.25133,1.07091,1.45678,0.000421852,0.000421852,0.000421852
12,2367.46,1.17165,1.06811,1.27629,0.62373,0.57101,0.59401,0.35535,1.25917,1.12046,1.47202,0.000411437,0.000411437,0.000411437
13,2557.48,1.16489,1.05247,1.2743,0.64536,0.55901,0.59406,0.36152,1.24819,1.10507,1.4783,0.000401022,0.000401022,0.000401022
14,2743.78,1.1448,1.02216,1.26726,0.66083,0.48284,0.5402,0.34481,1.26382,1.15329,1.47446,0.000390608,0.000390608,0.000390608
15,2932.09,1.13896,0.9984,1.25175,0.61757,0.54441,0.54691,0.34871,1.24674,1.10448,1.45734,0.000380193,0.000380193,0.000380193
16,3119.32,1.13418,1.00201,1.25303,0.69211,0.51538,0.57771,0.36167,1.22934,1.04441,1.43734,0.000369778,0.000369778,0.000369778
17,3306.38,1.11924,0.97664,1.24869,0.69502,0.51366,0.57587,0.36612,1.22,1.07601,1.43597,0.000359363,0.000359363,0.000359363
18,3496.77,1.11351,0.9539,1.2402,0.72106,0.55839,0.59966,0.37473,1.23002,1.04559,1.44919,0.000348948,0.000348948,0.000348948
19,3682.29,1.10783,0.95147,1.23733,0.53204,0.59816,0.59415,0.37607,1.23578,1.01073,1.45251,0.000338534,0.000338534,0.000338534
20,3869.57,1.09918,0.94131,1.23358,0.61997,0.56811,0.59346,0.37568,1.20614,0.97984,1.42964,0.000328119,0.000328119,0.000328119
21,4056.21,1.08935,0.91472,1.2227,0.67258,0.57898,0.62641,0.39161,1.18689,0.91878,1.39852,0.000317704,0.000317704,0.000317704
22,4247.89,1.08012,0.91538,1.21994,0.72892,0.54346,0.60933,0.38063,1.19375,0.9458,1.40513,0.000307289,0.000307289,0.000307289
23,4436.8,1.07467,0.89813,1.21483,0.6792,0.59371,0.60587,0.3794,1.20241,0.97376,1.41754,0.000296874,0.000296874,0.000296874
24,4626.35,1.06288,0.87863,1.20592,0.72094,0.55487,0.60395,0.38334,1.20331,0.93617,1.41456,0.00028646,0.00028646,0.00028646
25,4812,1.06994,0.87632,1.21161,0.52724,0.61855,0.60115,0.39075,1.18598,0.99099,1.40135,0.000276045,0.000276045,0.000276045
26,4994.88,1.05644,0.86567,1.20064,0.66713,0.58754,0.6106,0.38469,1.18122,0.91656,1.39859,0.00026563,0.00026563,0.00026563
27,5183.03,1.05435,0.85955,1.20049,0.59105,0.62056,0.59072,0.38013,1.19586,0.96329,1.41081,0.000255215,0.000255215,0.000255215
28,5365.81,1.05878,0.85571,1.20009,0.49132,0.64501,0.60469,0.38725,1.17847,0.92767,1.40579,0.0002448,0.0002448,0.0002448
29,5550,1.03564,0.83766,1.18989,0.58925,0.64864,0.60908,0.39164,1.17102,0.90951,1.38709,0.000234386,0.000234386,0.000234386
30,5733.46,1.02759,0.82916,1.18554,0.55129,0.63927,0.63628,0.39465,1.16302,0.90763,1.37584,0.000223971,0.000223971,0.000223971
31,5915.86,1.02482,0.81938,1.18019,0.5654,0.67982,0.63014,0.40083,1.15365,0.88267,1.36085,0.000213556,0.000213556,0.000213556
32,6101.86,1.01613,0.80779,1.17932,0.58893,0.65656,0.64862,0.40375,1.16015,0.86802,1.38263,0.000203141,0.000203141,0.000203141
33,6288.84,1.01292,0.80504,1.17469,0.62158,0.62956,0.62835,0.39788,1.14128,0.87835,1.36733,0.000192726,0.000192726,0.000192726
34,6476.2,1.00458,0.79555,1.17215,0.57756,0.67277,0.62007,0.40001,1.13836,0.87519,1.37024,0.000182312,0.000182312,0.000182312
35,6662.13,0.9969,0.78498,1.16581,0.55591,0.68138,0.61539,0.39654,1.14279,0.89024,1.3595,0.000171897,0.000171897,0.000171897
